Model,ROC-AUC,PR-AUC,Recall@5%FPR
Random Forest,0.8626114347419694,0.413340195366116,0.5255331412103746
Stacked Hybrid,0.8617119035341979,0.4301517040066415,0.5217291066282421
MLP Adaptive,0.8272185752955252,0.23461053768212856,0.4134078212290503
LightGBM,0.8188598673802677,0.4125709707362133,0.5159654178674351
Logistic Regression,0.8172999047946858,0.18641426271825012,0.3707204610951009
XGBoost,0.8040068292091186,0.4079105412714161,0.5137752161383285
MLP Static,0.7967575988807134,0.27195514862009507,0.3921613832853026
SGD Logistic Regression,0.6969360444740826,0.11947620848571427,0.2946397694524496
